cluster,lon,lat
s_1,151.37,-2.9
s_2,-103.83,43.73
s_3,-114.61,49.63
s_4,-99.47,29.35
s_5,-85.37,36.29
s_6,-75.55,44.37
s_7,-39.71,-3.36
s_8,28.78,-29.77
s_9,-12.5,14
s_10,5.22,44.02
s_11,47.07,34.31
s_12,35.86,31.31
s_13,72.65,23.78
s_14,121.38,30.02
s_15,145.15,-5.91
s_16,-104.63,42.42
s_17,-111.18,50.75
s_18,-101.4,29.73
s_19,-84.13,36.1
s_20,-79.5,43.83
s_21,-44.04,-19.48
s_22,31.08,-29.52
s_23,10.08,5.86
s_24,1.7,41.53
s_25,45.15,35.59
s_26,35.88,34.28
s_27,72.7,21.68
s_28,100.33,35.42
s_29,144.24,-5.86
s_30,-109.95,42.88
s_31,-118.2,46.61
s_32,-97.68,30.65
s_33,-83.98,36.75
s_34,-79.95,43.47
s_35,-42.77,-14.16
s_36,24.62,-27.62
s_37,12.97,14.12
s_38,0.95,41.57
s_39,32.48,15.65
s_40,40.87,36.42
s_41,72.11,21.21
s_42,97.4,35.6
s_43,138.15,-4
s_44,-109.52,43.63
s_45,-117.05,46.37
s_46,-97.17,28.73
s_47,-82.83,35.53
s_48,-78.07,44.27
s_49,-42.89,-14.13
s_50,25.78,-24.65
s_51,13.22,12.27
s_52,1.37,43.08
s_53,31.25,18.08
s_54,38.92,37.22
s_55,104.28,10.68
s_56,97.5,35.5
s_57,136.91,-35.98
s_58,-108.78,41.67
s_59,-121.3,44.05
s_60,-95.02,29.62
s_61,-86.02,40.05
s_62,-77.74,42.98
s_63,-41.12,-14.62
s_64,27.78,-25.98
s_65,11.21,55.49
s_66,0.37,42.93
s_67,32.03,18.83
s_68,36.64,37.85
s_69,104.97,11
s_70,96.5,35.7
s_71,140.8,-37.03
s_72,-109.55,44.73
s_73,-123.25,48.77
s_74,-95.63,32.8
s_75,-88.01,39.51
s_76,-83.73,43.33
s_77,-41.6,-11.28
s_78,17.07,-28.85
s_79,10.33,52.17
s_80,-5.11,43.46
s_81,29.8,17.7
s_82,83.16,51.44
s_83,106.3,10.96
s_84,97.17,31.08
s_85,141.02,-38.05
s_86,-111.6,37.77
s_87,-130.35,54.33
s_88,-95.45,32.8
s_89,-88.92,38.85
s_90,-85.1,42.98
s_91,-48.85,-24.52
s_92,16.58,-28.77
s_93,0.66,52.51
s_94,-4.75,43.42
s_95,32.93,24.63
s_96,79.37,45.13
s_97,98.28,19.57
s_98,114.48,40.16
s_99,137.7,-32.47
s_100,-112.95,40.1
s_101,-120.94,56.28
s_102,-93.45,32.2
s_103,-87.37,38.1
s_104,-81.57,41.2
s_105,-70.85,-17.12
s_106,22.16,-33.37
s_107,4.27,51.13
s_108,-3.45,43.25
s_109,35.47,23.91
s_110,78.5,44.9
s_111,98.52,19.52
s_112,109.99,38.62
s_113,146.47,-42.58
s_114,-114.03,40.45
s_115,-91.55,15.31
s_116,-91.41,32.64
s_117,-87.45,37.95
s_118,-139.8,67.75
s_119,-67.04,-18.06
s_120,21.22,-34.42
s_121,3.77,47.59
s_122,-3.46,43.44
s_123,31.37,21.78
s_124,56.43,53.03
s_125,98.82,19.4
s_126,109.65,38.36
s_127,145.8,-42.34
s_128,-114.03,39.48
s_129,-93.73,16.65
s_130,-87.31,32.35
s_131,-87.17,38.72
s_132,-141.46,64.15
s_133,-68.93,-22.47
s_134,19.37,-34.53
s_135,20.5,50.74
s_136,-2.37,43.28
s_137,33.98,44.8
s_138,57.18,54.62
s_139,99.77,18.45
s_140,106.5,38.33
s_141,145.91,-42.52
s_142,-114.12,39.02
s_143,-86.66,13.8
s_144,-91.8,46.35
s_145,-86.54,39.04
s_146,-93.67,72.75
s_147,-67.78,-23.73
s_148,18.45,-32.39
s_149,19.7,50.17
s_150,-3.51,42.34
s_151,34.6,45.05
s_152,55.88,54.91
s_153,105.53,20.36
s_154,105.83,38.05
s_155,150.59,-34.86
s_156,-115.27,39.72
s_157,-88.53,17.33
s_158,-90.7,45.87
s_159,-86.12,38.2
s_160,-68.65,63.77
s_161,-64.37,-27.65
s_162,31.93,-14.41
s_163,20.06,50.18
s_164,-0.43,45.45
s_165,34.4,45
s_166,59.27,56.53
s_167,105.57,20.47
s_168,113.58,34.64
s_169,148.66,-35
s_170,-111.5,40.73
s_171,-98.25,19.4
s_172,-95.2,47.23
s_173,-82.08,38.98
s_174,-80.88,-2.22
s_175,-71.98,-46.25
s_176,35.17,-15.8
s_177,21.72,42.91
s_178,-3.46,46.44
s_179,29.45,45.57
s_180,60.06,60.4
s_181,105.27,20.62
s_182,113.42,34.77
s_183,144.72,-37.28
s_184,-107.17,38.48
s_185,-98.88,19.38
s_186,-100.68,49.38
s_187,-82.88,39.26
s_188,-80.82,-2.3
s_189,-68.85,-48.57
s_190,28.45,-15.25
s_191,12.22,46.45
s_192,-8.67,39.53
s_193,40.08,44.17
s_194,57.44,65.03
s_195,106.97,23.61
s_196,111.5,35.88
s_197,148.21,-37.41
s_198,-107.97,36.05
s_199,-99.08,22.55
s_200,-82.48,28.85
s_201,-84.75,37.87
s_202,-78.77,-2.82
s_203,-68.87,-48.4
s_204,38.65,7.72
s_205,13.85,45.62
s_206,-7.82,33.52
s_207,43.3,42.33
s_208,80.22,6.65
s_209,107.56,22.39
s_210,111.47,35.49
s_211,151.85,-27.93
s_212,-106.08,36.89
s_213,-104.62,23.9
s_214,-81.45,29.1
s_215,-84.85,39.1
s_216,-78.9,-2.83
s_217,-71.53,-41.57
s_218,41.89,9.57
s_219,13.48,46.13
s_220,-6.95,33.94
s_221,45.02,40.78
s_222,78.18,15.43
s_223,107.33,22.57
s_224,111.48,33.09
s_225,151.48,-28.28
s_226,-109.37,34.37
s_227,-96.57,39.67
s_228,-80.63,28.12
s_229,-70.15,43.84
s_230,-78.08,0.13
s_231,-73.1,-40.57
s_232,39.54,-6.36
s_233,16.25,43.52
s_234,-3.85,36.76
s_235,22.57,36.77
s_236,79.2,20.27
s_237,109.89,23
s_238,108.17,34.45
s_239,144.12,-16.1
s_240,-110.62,31.61
s_241,-100.67,40.37
s_242,-81.13,26.95
s_243,-71.55,42.35
s_244,-79.45,-7.4
s_245,-65.28,-39.81
s_246,34.03,-2.25
s_247,12.86,41.6
s_248,-4.48,37.37
s_249,27.35,38.47
s_250,78.9,20.92
s_251,106.83,28.13
s_252,117.47,59.93
s_253,144.98,-19
s_254,-111.52,30.17
s_255,-101.52,40.42
s_256,-80.43,33.23
s_257,-80.68,37.33
s_258,-80.62,7.9
s_259,-71.17,-34.48
s_260,36.15,-0.83
s_261,13.24,41.42
s_262,-3.3,34.75
s_263,35.57,33.23
s_264,79.2,21.37
s_265,102.07,25.42
s_266,115.48,45.24
s_267,110.76,-8.08
s_268,-107.92,29.4
s_269,-98.67,40.92
s_270,-92.25,37.87
s_271,-79.08,38.37
s_272,-74.28,4.6
s_273,-71.53,-32.78
s_274,34.73,-0.42
s_275,4.55,36.45
s_276,62.04,38.21
s_277,35.72,32.55
s_278,82.63,25.22
s_279,141.13,38.93
s_280,111.81,46.21
s_281,115.52,-31.32
s_282,-120.85,35.22
s_283,-102.98,36.93
s_284,-91.02,37
s_285,-78,40.43
s_286,-63.39,9.85
s_287,-56.28,-34.73
s_288,35.01,-0.28
s_289,14.58,38.05
s_290,60.67,41.89
s_291,34.97,32.67
s_292,84.06,21.11
s_293,135.9,35.56
s_294,104.88,51.85
s_295,115.05,-34.99
s_296,-116.66,34.81
s_297,-100.28,37.19
s_298,-90.26,38.4
s_299,-78.65,40.08
s_300,-37.75,-9.93
s_301,-56.04,-34.62
s_302,34.16,-0.84
s_303,13.3,37.77
s_304,67.72,38.05
s_305,35.23,32.76
s_306,75.68,29.5
s_307,126.8,45.9
s_308,106.08,52.54
s_309,115.02,-34.07
s_310,-115.55,35.45
s_311,-97.03,37.07
s_312,-86.4,35.85
s_313,-77.44,40.89
s_314,-37.68,-9.78
s_315,-58.7,-38.57
s_316,34.02,-0.47
s_317,11.02,33.5
s_318,55.63,25.52
s_319,35.28,32.84
s_320,76.17,28.88
s_321,122.96,45.39
s_322,103.57,53.55
s_323,124.4,-15.8
s_324,-115.68,36.57
s_325,-98.37,34.9
s_326,-86.78,36.18
s_327,-76.73,40.02
s_328,-36.72,-8.42
s_329,-60.24,-38.36
s_330,35.31,-4.26
s_331,10.92,33.68
s_332,56.36,25.38
s_333,35.2,33.03
s_334,76.48,28.98
s_335,133,42.87
s_336,108.29,51.75
s_337,115.54,-20.46
s_338,-117.03,32.95
s_339,-99.9,30.3
s_340,-87.67,34.82
s_341,-75.02,39.22
s_342,-36.16,-8.18
s_343,-60.38,-37.01
s_344,-2.95,15
s_345,9.44,35.89
s_346,55,36.5
s_347,36.82,31.83
s_348,69.05,23.45
s_349,120.01,35.79
s_350,102.96,49.26
s_351,130.85,-23.83
s_352,-118.36,34.06
s_353,-99.25,30.75
s_354,-84.93,36.38
s_355,-75.85,45.47
s_356,-36.12,-7.13
s_357,-61.53,-35.32
s_358,-9.22,18.37
s_359,3.26,43.98
s_360,46.65,34.06
s_361,35.16,31.79
s_362,69.33,23.33
s_363,125.79,38.68
